series_id,transform_type
sub-S03048_ses-E20387_acq-2_run-4_bp-chest_ct,type_1
sub-S03048_ses-E20387_acq-2_run-5_bp-chest_ct,type_1
sub-S03059_ses-E06807_acq-1_run-4_bp-chest_ct,type_1
sub-S03059_ses-E06807_acq-1_run-7_bp-chest_ct,type_1
sub-S03064_ses-E22711_run-1_bp-chest_ct,type_1
sub-S03101_ses-E07651_run-1_bp-chest_ct,type_1
sub-S03101_ses-E07651_run-3_bp-chest_ct,type_1
sub-S03106_ses-E26974_run-1_bp-chest_ct,type_1
sub-S03106_ses-E26974_run-3_bp-chest_ct,type_1
sub-S03175_ses-E21630_acq-2_run-4_bp-chest_ct,type_1
sub-S03175_ses-E21630_acq-2_run-5_bp-chest_ct,type_1
sub-S03180_ses-E07895_run-2_bp-chest_ct,type_1
sub-S03180_ses-E26895_acq-1_run-1_bp-chest_ct,type_1
sub-S03180_ses-E26895_acq-1_run-3_bp-chest_ct,type_1
sub-S03180_ses-E26895_acq-2_run-1_bp-chest_ct,type_1
sub-S03180_ses-E26895_acq-2_run-3_bp-chest_ct,type_1
sub-S03185_ses-E08022_acq-1_run-1_bp-chest_ct,type_1
sub-S03185_ses-E08022_acq-1_run-3_bp-chest_ct,type_1
sub-S03185_ses-E08022_acq-2_run-1_bp-chest_ct,type_1
sub-S03185_ses-E08022_acq-2_run-3_bp-chest_ct,type_1
sub-S03187_ses-E16305_run-1_bp-chest_ct,type_1
sub-S03187_ses-E16305_run-3_bp-chest_ct,type_1
sub-S03188_ses-E27027_acq-1_run-1_bp-chest_ct,type_1
sub-S03188_ses-E27027_acq-1_run-3_bp-chest_ct,type_1
sub-S03188_ses-E27027_acq-2_run-1_bp-chest_ct,type_1
sub-S03188_ses-E27027_acq-2_run-3_bp-chest_ct,type_1
sub-S03201_ses-E06773_run-1_bp-chest_ct,type_1
sub-S03201_ses-E06773_run-3_bp-chest_ct,type_1
sub-S03213_ses-E06358_acq-1_run-1_bp-chest_ct,type_1
sub-S03213_ses-E06358_acq-1_run-3_bp-chest_ct,type_1
sub-S03213_ses-E06358_acq-2_run-1_bp-chest_ct,type_1
sub-S03213_ses-E06358_acq-2_run-3_bp-chest_ct,type_1
sub-S03213_ses-E16356_run-1_bp-chest_ct,type_1
sub-S03213_ses-E16356_run-3_bp-chest_ct,type_1
sub-S03281_ses-E16525_acq-1_run-1_bp-chest_ct,type_1
sub-S03281_ses-E16525_acq-1_run-3_bp-chest_ct,type_1
